latitude,longitude,latitude_moved,longitude_moved,dist_moved,i.latitude_moved,i.longitude_moved,i.dist_moved,i.latitude_moved.4,i.longitude_moved.4,i.dist_moved.4,i.latitude_moved.3,i.longitude_moved.3,i.dist_moved.3,i.latitude_moved.2,i.longitude_moved.2,i.dist_moved.2,year,month,country,basisOfRecord,latitude_moved.x,longitude_moved.x,dist_moved.x,GulfofPiran_seaway.x,GulfofPiran_geodesic.x,RavennaH_seaway.x,RavennaH_geodesic.x,RavennaM_seaway.x,RavennaM_geodesic.x,latitude_moved.y,longitude_moved.y,dist_moved.y,GulfofPiran_seaway.y,GulfofPiran_geodesic.y,RavennaH_seaway.y,RavennaH_geodesic.y,RavennaM_seaway.y,RavennaM_geodesic.y,i.latitude_moved.1,i.longitude_moved.1,i.dist_moved.1,GulfofPiran_seaway,GulfofPiran_geodesic,RavennaH_seaway,RavennaH_geodesic,RavennaM_seaway,RavennaM_geodesic
45.425287,12.361025,45.35,12.35,8.43,45.35,12.35,8.43,45.35,12.35,8.43,45.35,12.35,8.43,45.35,12.35,8.43,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.43,101,97,105,100,105,100,45.35,12.35,8.43,101,97,105,100,105,100,45.35,12.35,8.43,101,97,105,100,105,100
45.417835,12.368273,45.35,12.35,7.69,45.35,12.35,7.69,45.35,12.35,7.69,45.35,12.35,7.69,45.35,12.35,7.69,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,7.69,101,97,105,100,105,100,45.35,12.35,7.69,101,97,105,100,105,100,45.35,12.35,7.69,101,97,105,100,105,100
45.43256,12.338895,45.35,12.35,9.23,45.35,12.35,9.23,45.35,12.35,9.23,45.35,12.35,9.23,45.35,12.35,9.23,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.23,101,97,105,100,105,100,45.35,12.35,9.23,101,97,105,100,105,100,45.35,12.35,9.23,101,97,105,100,105,100
45.428327,12.331671,45.35,12.35,8.84,45.35,12.35,8.84,45.35,12.35,8.84,45.35,12.35,8.84,45.35,12.35,8.84,2023,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.84,101,97,105,100,105,100,45.35,12.35,8.84,101,97,105,100,105,100,45.35,12.35,8.84,101,97,105,100,105,100
45.606796,12.89986,45.55,12.85,7.42,45.55,12.85,7.42,45.55,12.85,7.42,45.55,12.85,7.42,45.55,12.85,7.42,2023,4,Italy,HUMAN_OBSERVATION,45.55,12.85,7.42,55,56,129,128,129,128,45.55,12.85,7.42,55,56,129,128,129,128,45.55,12.85,7.42,55,56,129,128,129,128
45.432795,12.349494,45.35,12.35,9.22,45.35,12.35,9.22,45.35,12.35,9.22,45.35,12.35,9.22,45.35,12.35,9.22,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.22,101,97,105,100,105,100,45.35,12.35,9.22,101,97,105,100,105,100,45.35,12.35,9.22,101,97,105,100,105,100
45.433781,12.344408,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100
45.433781,12.344408,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,45.35,12.35,9.34,2023,5,Italy,HUMAN_OBSERVATION,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100,45.35,12.35,9.34,101,97,105,100,105,100
45.306769,12.313777,45.306769,12.313777,0,45.306769,12.313777,0,45.306769,12.313777,0,45.306769,12.313777,0,45.306769,12.313777,0,2023,6,Italy,HUMAN_OBSERVATION,,,,101,101,105,95,105,95,,,,101,101,105,95,105,95,,,,101,101,105,95,105,95
45.313546,12.316491,45.313546,12.316491,0,45.313546,12.316491,0,45.313546,12.316491,0,45.313546,12.316491,0,45.313546,12.316491,0,2023,6,Italy,HUMAN_OBSERVATION,,,,101,101,105,96,105,96,,,,101,101,105,96,105,96,,,,101,101,105,96,105,96
45.41373,12.378265,45.35,12.35,7.43,45.35,12.35,7.43,45.35,12.35,7.43,45.35,12.35,7.43,45.35,12.35,7.43,2023,6,Italy,HUMAN_OBSERVATION,45.35,12.35,7.43,101,97,105,100,105,100,45.35,12.35,7.43,101,97,105,100,105,100,45.35,12.35,7.43,101,97,105,100,105,100
45.419384,12.386611,45.35,12.35,8.24,45.35,12.35,8.24,45.35,12.35,8.24,45.35,12.35,8.24,45.35,12.35,8.24,2022,6,Italy,HUMAN_OBSERVATION,45.35,12.35,8.24,101,97,105,100,105,100,45.35,12.35,8.24,101,97,105,100,105,100,45.35,12.35,8.24,101,97,105,100,105,100
45.480474,12.480341,45.45,12.55,6.41,45.45,12.55,6.41,45.45,12.55,6.41,45.45,12.55,6.41,45.45,12.55,6.41,2022,6,Italy,HUMAN_OBSERVATION,45.45,12.55,6.41,82,80,114,112,114,112,45.45,12.55,6.41,82,80,114,112,114,112,45.45,12.55,6.41,82,80,114,112,114,112
38.49795,23.531935,38.55,23.55,6,38.55,23.55,6,38.55,23.55,6,38.55,23.55,6,38.55,23.55,6,2022,8,Greece,HUMAN_OBSERVATION,38.55,23.55,6,1539,1131,1507,1140,1507,1140,38.55,23.55,6,1539,1131,1507,1140,1507,1140,38.55,23.55,6,1539,1131,1507,1140,1507,1140
45.273378,12.303228,45.273378,12.303228,0,45.273378,12.303228,0,45.273378,12.303228,0,45.273378,12.303228,0,45.273378,12.303228,0,2021,5,Italy,HUMAN_OBSERVATION,,,,104,103,94,92,94,92,,,,104,103,94,92,94,92,,,,104,103,94,92,94,92
45.239296,12.298861,45.239296,12.298861,0,45.239296,12.298861,0,45.239296,12.298861,0,45.239296,12.298861,0,45.239296,12.298861,0,2021,5,Italy,HUMAN_OBSERVATION,,,,112,104,98,88,98,88,,,,112,104,98,88,98,88,,,,112,104,98,88,98,88
39.145299,23.165916,39.145299,23.165916,0,39.145299,23.165916,0,39.145299,23.165916,0,39.145299,23.165916,0,39.145299,23.165916,0,2021,6,Greece,HUMAN_OBSERVATION,,,,1545,1060,1513,1073,1513,1073,,,,1545,1060,1513,1073,1513,1073,,,,1545,1060,1513,1073,1513,1073
45.426276,12.327195,45.35,12.35,8.68,45.35,12.35,8.68,45.35,12.35,8.68,45.35,12.35,8.68,45.35,12.35,8.68,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.68,101,97,105,100,105,100,45.35,12.35,8.68,101,97,105,100,105,100,45.35,12.35,8.68,101,97,105,100,105,100
45.4249,12.326864,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.53,101,97,105,100,105,100,45.35,12.35,8.53,101,97,105,100,105,100,45.35,12.35,8.53,101,97,105,100,105,100
45.42491,12.327208,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.53,101,97,105,100,105,100,45.35,12.35,8.53,101,97,105,100,105,100,45.35,12.35,8.53,101,97,105,100,105,100
45.424988,12.327641,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,45.35,12.35,8.53,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.53,101,97,105,100,105,100,45.35,12.35,8.53,101,97,105,100,105,100,45.35,12.35,8.53,101,97,105,100,105,100
45.424687,12.32786,45.35,12.35,8.49,45.35,12.35,8.49,45.35,12.35,8.49,45.35,12.35,8.49,45.35,12.35,8.49,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.49,101,97,105,100,105,100,45.35,12.35,8.49,101,97,105,100,105,100,45.35,12.35,8.49,101,97,105,100,105,100
45.423483,12.32724,45.35,12.35,8.37,45.35,12.35,8.37,45.35,12.35,8.37,45.35,12.35,8.37,45.35,12.35,8.37,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.37,101,97,105,100,105,100,45.35,12.35,8.37,101,97,105,100,105,100,45.35,12.35,8.37,101,97,105,100,105,100
45.423899,12.326743,45.35,12.35,8.42,45.35,12.35,8.42,45.35,12.35,8.42,45.35,12.35,8.42,45.35,12.35,8.42,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.42,101,97,105,100,105,100,45.35,12.35,8.42,101,97,105,100,105,100,45.35,12.35,8.42,101,97,105,100,105,100
45.429937,12.339617,45.35,12.35,8.94,45.35,12.35,8.94,45.35,12.35,8.94,45.35,12.35,8.94,45.35,12.35,8.94,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.94,101,97,105,100,105,100,45.35,12.35,8.94,101,97,105,100,105,100,45.35,12.35,8.94,101,97,105,100,105,100
45.432409,12.316813,45.35,12.35,9.53,45.35,12.35,9.53,45.35,12.35,9.53,45.35,12.35,9.53,45.35,12.35,9.53,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.53,101,97,105,100,105,100,45.35,12.35,9.53,101,97,105,100,105,100,45.35,12.35,9.53,101,97,105,100,105,100
45.42739,12.339775,45.35,12.35,8.65,45.35,12.35,8.65,45.35,12.35,8.65,45.35,12.35,8.65,45.35,12.35,8.65,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.65,101,97,105,100,105,100,45.35,12.35,8.65,101,97,105,100,105,100,45.35,12.35,8.65,101,97,105,100,105,100
45.431089,12.335536,45.35,12.35,9.1,45.35,12.35,9.1,45.35,12.35,9.1,45.35,12.35,9.1,45.35,12.35,9.1,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,9.1,101,97,105,100,105,100,45.35,12.35,9.1,101,97,105,100,105,100,45.35,12.35,9.1,101,97,105,100,105,100
45.426252,12.327228,45.35,12.35,8.67,45.35,12.35,8.67,45.35,12.35,8.67,45.35,12.35,8.67,45.35,12.35,8.67,2020,4,Italy,HUMAN_OBSERVATION,45.35,12.35,8.67,101,97,105,100,105,100,45.35,12.35,8.67,101,97,105,100,105,100,45.35,12.35,8.67,101,97,105,100,105,100
45.425555,12.331067,45.35,12.35,8.54,45.35,12.35,8.54,45.35,12.35,8.54,45.35,12.35,8.54,45.35,12.35,8.54,2020,5,Italy,HUMAN_OBSERVATION,45.35,12.35,8.54,101,97,105,100,105,100,45.35,12.35,8.54,101,97,105,100,105,100,45.35,12.35,8.54,101,97,105,100,105,100
40.42865,22.871022,40.42865,22.871022,0,40.42865,22.871022,0,40.42865,22.871022,0,40.42865,22.871022,0,40.42865,22.871022,0,2020,5,Greece,HUMAN_OBSERVATION,,,,1673,945,1642,973,1642,973,,,,1673,945,1642,973,1642,973,,,,1673,945,1642,973,1642,973
