latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved
43.42472,3.7,2021,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2021,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,7,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,8,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,12,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2020,12,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2019,12,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,3,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,4,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,6,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,7,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,7,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,8,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,8,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,8,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,9,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,10,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,11,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,11,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2018,11,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2017,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
43.42472,3.7,2017,5,France,HUMAN_OBSERVATION,43.35,3.65000000000001,9.25
